year,tmID,playoff,confID,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,teamWLRatio,playoff_prev
10,CON,N,EA,965.0,2286.0,539.0,723.0,221.0,669.0,1239.0,607.0,629.0,211.0,487.0,97.0,2690.0,955.0,2284.0,472.0,638.0,159.0,496.0,1200.0,554.0,703.0,252.0,499.0,104.0,2541.0,1.6153846153846154,Y
1,DET,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DET,N,EA,868.0,1980.0,519.0,699.0,76.0,273.0,985.0,503.0,701.0,260.0,530.0,88.0,2331.0,905.0,1967.0,480.0,652.0,136.0,372.0,971.0,513.0,672.0,284.0,543.0,148.0,2426.0,0.7777777777777778,N
3,DET,N,EA,774.0,1914.0,412.0,542.0,143.0,405.0,945.0,469.0,602.0,225.0,498.0,82.0,2103.0,848.0,1837.0,446.0,583.0,127.0,340.0,981.0,438.0,591.0,262.0,483.0,109.0,2269.0,0.45454545454545453,N
4,DET,Y,EA,766.0,1919.0,472.0,651.0,110.0,364.0,1079.0,478.0,609.0,201.0,541.0,132.0,2114.0,828.0,1984.0,464.0,605.0,146.0,447.0,983.0,465.0,637.0,277.0,443.0,139.0,2266.0,0.391304347826087,N
5,DET,Y,EA,902.0,2004.0,624.0,882.0,125.0,323.0,1230.0,545.0,605.0,263.0,608.0,158.0,2553.0,911.0,2286.0,412.0,556.0,161.0,541.0,1064.0,504.0,774.0,309.0,497.0,129.0,2395.0,2.7777777777777777,Y
6,DET,Y,EA,874.0,2097.0,556.0,792.0,62.0,209.0,1170.0,564.0,648.0,277.0,513.0,148.0,2366.0,860.0,2098.0,470.0,609.0,191.0,533.0,1055.0,515.0,728.0,289.0,496.0,131.0,2381.0,1.0,Y
7,DET,Y,EA,831.0,2060.0,509.0,774.0,76.0,238.0,1215.0,474.0,761.0,241.0,571.0,155.0,2247.0,784.0,1945.0,565.0,754.0,154.0,456.0,1018.0,473.0,744.0,272.0,520.0,136.0,2287.0,0.8888888888888888,Y
8,DET,Y,EA,919.0,2220.0,553.0,746.0,136.0,414.0,1286.0,572.0,711.0,213.0,537.0,137.0,2527.0,840.0,2165.0,529.0,702.0,175.0,561.0,1084.0,474.0,733.0,275.0,506.0,108.0,2384.0,2.090909090909091,Y
9,DET,Y,EA,972.0,2261.0,595.0,785.0,158.0,442.0,1311.0,563.0,702.0,227.0,564.0,117.0,2697.0,895.0,2262.0,547.0,718.0,203.0,610.0,1089.0,546.0,767.0,276.0,529.0,117.0,2540.0,2.4,Y
