year,tmID,playoff,confID,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,teamWLRatio,playoff_prev
3,SAC,N,WE,837.0,1974.0,457.0,618.0,163.0,423.0,1097.0,558.0,588.0,276.0,494.0,158.0,2294.0,804.0,2003.0,415.0,578.0,116.0,400.0,1005.0,496.0,616.0,261.0,481.0,143.0,2139.0,1.6666666666666667,Y
4,SAC,Y,WE,780.0,1945.0,494.0,653.0,112.0,395.0,949.0,500.0,675.0,247.0,456.0,109.0,2166.0,815.0,1944.0,515.0,681.0,149.0,453.0,1075.0,493.0,633.0,233.0,496.0,128.0,2294.0,0.7777777777777778,N
5,SAC,Y,WE,862.0,2107.0,425.0,626.0,150.0,473.0,1067.0,568.0,641.0,297.0,461.0,122.0,2299.0,816.0,1991.0,435.0,597.0,149.0,467.0,1096.0,516.0,640.0,224.0,576.0,141.0,2216.0,1.2666666666666666,Y
6,SAC,Y,WE,874.0,2072.0,435.0,604.0,129.0,365.0,1024.0,519.0,641.0,314.0,485.0,118.0,2312.0,803.0,1872.0,474.0,631.0,161.0,458.0,986.0,513.0,646.0,241.0,593.0,117.0,2241.0,1.125,Y
7,SAC,Y,WE,853.0,1986.0,494.0,721.0,129.0,360.0,1043.0,527.0,684.0,304.0,500.0,108.0,2329.0,751.0,1823.0,478.0,653.0,113.0,376.0,967.0,463.0,723.0,235.0,622.0,132.0,2093.0,2.7777777777777777,Y
8,SAC,Y,WE,919.0,2190.0,542.0,741.0,157.0,461.0,1138.0,509.0,670.0,330.0,542.0,88.0,2537.0,872.0,2021.0,504.0,661.0,156.0,507.0,1019.0,507.0,687.0,244.0,633.0,143.0,2404.0,1.6153846153846154,Y
9,SAC,Y,WE,901.0,2214.0,572.0,745.0,153.0,429.0,1175.0,537.0,642.0,325.0,611.0,101.0,2527.0,891.0,2081.0,512.0,664.0,186.0,547.0,1026.0,542.0,689.0,274.0,649.0,141.0,2480.0,1.2666666666666666,Y
10,SAC,N,WE,883.0,2159.0,611.0,816.0,168.0,438.0,1109.0,473.0,690.0,319.0,586.0,77.0,2545.0,958.0,2128.0,469.0,622.0,186.0,542.0,1075.0,581.0,759.0,267.0,624.0,206.0,2571.0,1.125,Y
4,SAS,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SAS,N,WE,792.0,2068.0,538.0,736.0,93.0,315.0,1145.0,428.0,728.0,187.0,513.0,167.0,2215.0,867.0,2176.0,544.0,745.0,149.0,482.0,1172.0,530.0,669.0,275.0,424.0,140.0,2427.0,0.5454545454545454,N
6,SAS,N,WE,812.0,1940.0,488.0,628.0,79.0,247.0,1003.0,493.0,628.0,272.0,513.0,106.0,2191.0,888.0,2003.0,416.0,564.0,172.0,469.0,1034.0,575.0,624.0,280.0,492.0,129.0,2364.0,0.36,N
7,SAS,N,WE,764.0,1833.0,503.0,652.0,110.0,339.0,946.0,433.0,650.0,195.0,535.0,90.0,2141.0,898.0,2059.0,463.0,611.0,142.0,408.0,1055.0,563.0,685.0,283.0,429.0,148.0,2401.0,0.25925925925925924,N
8,SAS,Y,WE,915.0,2255.0,504.0,672.0,189.0,556.0,1168.0,540.0,610.0,246.0,488.0,83.0,2523.0,974.0,2262.0,490.0,640.0,165.0,459.0,1237.0,560.0,641.0,254.0,480.0,129.0,2603.0,0.6190476190476191,N
9,SAS,Y,WE,923.0,2176.0,464.0,577.0,207.0,566.0,1087.0,567.0,653.0,283.0,558.0,130.0,2517.0,904.0,2139.0,529.0,688.0,147.0,454.0,1137.0,516.0,619.0,257.0,583.0,137.0,2484.0,1.4285714285714286,Y
10,SAS,Y,WE,901.0,2080.0,561.0,694.0,183.0,539.0,1093.0,601.0,602.0,272.0,525.0,150.0,2546.0,904.0,2271.0,471.0,634.0,139.0,483.0,1206.0,500.0,666.0,278.0,528.0,109.0,2418.0,2.4,Y
1,SEA,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SEA,N,WE,667.0,1740.0,379.0,561.0,109.0,364.0,793.0,390.0,648.0,255.0,525.0,93.0,1822.0,778.0,1721.0,498.0,654.0,117.0,334.0,1009.0,506.0,618.0,284.0,529.0,123.0,2171.0,0.23076923076923078,N
3,SEA,Y,WE,689.0,1821.0,415.0,606.0,128.0,412.0,891.0,412.0,605.0,273.0,431.0,127.0,1921.0,753.0,1750.0,417.0,559.0,125.0,325.0,1052.0,492.0,588.0,228.0,519.0,127.0,2048.0,0.45454545454545453,N
4,SEA,N,WE,794.0,1948.0,418.0,543.0,182.0,506.0,995.0,514.0,623.0,282.0,477.0,151.0,2188.0,783.0,1818.0,435.0,587.0,102.0,342.0,969.0,488.0,563.0,254.0,531.0,125.0,2103.0,1.1333333333333333,Y
5,SEA,Y,WE,890.0,2045.0,442.0,567.0,166.0,500.0,1074.0,548.0,644.0,232.0,465.0,138.0,2388.0,844.0,2039.0,441.0,591.0,145.0,437.0,1041.0,456.0,570.0,245.0,459.0,104.0,2274.0,1.125,N
6,SEA,Y,WE,873.0,2025.0,524.0,676.0,167.0,439.0,1059.0,552.0,665.0,302.0,499.0,131.0,2437.0,851.0,1989.0,423.0,592.0,139.0,391.0,982.0,507.0,678.0,252.0,527.0,137.0,2264.0,1.4285714285714286,Y
7,SEA,Y,WE,906.0,2066.0,544.0,688.0,142.0,429.0,1099.0,520.0,657.0,201.0,516.0,158.0,2498.0,892.0,2163.0,490.0,646.0,133.0,419.0,1020.0,568.0,691.0,267.0,438.0,154.0,2407.0,1.4285714285714286,Y
8,SEA,Y,WE,961.0,2124.0,562.0,712.0,160.0,475.0,1148.0,514.0,682.0,232.0,570.0,127.0,2644.0,940.0,2218.0,531.0,707.0,164.0,484.0,1031.0,520.0,683.0,297.0,485.0,115.0,2575.0,1.125,Y
9,SEA,Y,WE,964.0,2210.0,582.0,715.0,224.0,639.0,1164.0,533.0,620.0,242.0,533.0,151.0,2734.0,987.0,2321.0,478.0,586.0,195.0,528.0,1094.0,591.0,642.0,272.0,495.0,112.0,2647.0,1.0,Y
10,SEA,Y,WE,899.0,2112.0,552.0,728.0,143.0,453.0,1162.0,530.0,684.0,269.0,526.0,140.0,2493.0,861.0,2164.0,512.0,680.0,172.0,539.0,1092.0,498.0,674.0,263.0,515.0,115.0,2406.0,1.8333333333333333,Y
1,UTA,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UTA,Y,WE,858.0,1896.0,609.0,790.0,88.0,262.0,1080.0,522.0,698.0,214.0,544.0,157.0,2413.0,860.0,1964.0,531.0,721.0,156.0,448.0,911.0,503.0,702.0,301.0,437.0,112.0,2407.0,1.2857142857142858,N
3,UTA,Y,WE,811.0,1849.0,507.0,675.0,78.0,244.0,1070.0,524.0,622.0,202.0,493.0,156.0,2207.0,789.0,1976.0,489.0,660.0,125.0,429.0,974.0,478.0,645.0,275.0,390.0,148.0,2192.0,1.4615384615384615,Y
1,WAS,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,WAS,N,EA,832.0,1813.0,403.0,578.0,109.0,335.0,946.0,521.0,597.0,245.0,506.0,126.0,2176.0,845.0,1875.0,382.0,555.0,149.0,397.0,911.0,513.0,595.0,261.0,456.0,102.0,2221.0,0.7777777777777778,Y
3,WAS,Y,EA,739.0,1915.0,333.0,504.0,117.0,418.0,1055.0,424.0,537.0,257.0,495.0,127.0,1928.0,791.0,1945.0,347.0,467.0,146.0,408.0,1068.0,487.0,543.0,261.0,454.0,103.0,2075.0,0.45454545454545453,N
4,WAS,N,EA,806.0,1910.0,359.0,478.0,164.0,443.0,1038.0,516.0,583.0,221.0,455.0,94.0,2135.0,786.0,1903.0,397.0,538.0,147.0,446.0,989.0,442.0,570.0,237.0,441.0,101.0,2116.0,1.1333333333333333,Y
5,WAS,Y,EA,896.0,2191.0,381.0,507.0,157.0,505.0,1085.0,568.0,676.0,213.0,462.0,99.0,2330.0,909.0,2033.0,509.0,691.0,171.0,482.0,1115.0,591.0,565.0,251.0,468.0,119.0,2498.0,0.36,N
6,WAS,N,EA,873.0,2088.0,474.0,661.0,105.0,283.0,1063.0,467.0,652.0,255.0,424.0,128.0,2325.0,864.0,2013.0,510.0,686.0,146.0,425.0,1106.0,534.0,627.0,237.0,492.0,111.0,2384.0,1.0,Y
7,WAS,Y,EA,847.0,1968.0,388.0,546.0,181.0,510.0,943.0,517.0,697.0,260.0,435.0,76.0,2263.0,833.0,1872.0,489.0,648.0,150.0,433.0,1024.0,545.0,638.0,205.0,504.0,108.0,2305.0,0.8888888888888888,N
8,WAS,N,EA,1016.0,2199.0,528.0,715.0,187.0,522.0,1100.0,576.0,784.0,306.0,541.0,113.0,2747.0,909.0,2102.0,635.0,851.0,204.0,553.0,1041.0,583.0,687.0,252.0,573.0,89.0,2657.0,1.125,Y
9,WAS,N,EA,877.0,2170.0,668.0,839.0,163.0,528.0,1118.0,472.0,763.0,282.0,571.0,133.0,2585.0,924.0,2216.0,616.0,801.0,175.0,520.0,1208.0,549.0,762.0,256.0,579.0,103.0,2639.0,0.8888888888888888,N
10,WAS,Y,EA,885.0,2131.0,435.0,659.0,163.0,460.0,1132.0,483.0,757.0,241.0,637.0,93.0,2368.0,929.0,2096.0,563.0,760.0,180.0,528.0,1093.0,542.0,708.0,314.0,530.0,146.0,2601.0,0.4166666666666667,N
